country_code,code,name,updated_at,created_at
AU,ACT,Australian Capital Territory,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,NSW,New South Wales,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,NT,Northern Territory,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,QLD,Queensland,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,SA,South Australia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,TAS,Tasmania,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,VIC,Victoria,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AU,WA,Western Australia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,AB,Alberta,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,BC,British Columbia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,MB,Manitoba,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,NB,New Brunswick,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,NL,Newfoundland and Labrador,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,NT,Northwest Territories,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,NS,Nova Scotia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,NU,Nunavut,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,ON,Ontario,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,PE,Prince Edward Island,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,QC,Québec,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,SK,Saskatchewan,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
CA,YT,Yukon Territory,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,AL,Alabama,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,AK,Alaska,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,AZ,Arizona,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,AR,Arkansas,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,CA,California,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,CO,Colorado,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,CT,Connecticut,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,DE,Delaware,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,FL,Florida,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,GA,Georgia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,HI,Hawaii,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,ID,Idaho,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,IL,Illinois,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,IN,Indiana,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,IA,Iowa,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,KS,Kansas,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,KY,Kentucky,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,LA,Louisiana,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,ME,Maine,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MD,Maryland,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MA,Massachusetts,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MI,Michigan,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MN,Minnesota,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MS,Mississippi,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MO,Missouri,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,MT,Montana,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NE,Nebraska,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NV,Nevada,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NH,New Hampshire,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NJ,New Jersey,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NM,New Mexico,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NY,New York,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,NC,North Carolina,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,ND,North Dakota,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,OH,Ohio,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,OK,Oklahoma,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,OR,Oregon,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
