name,description,updated_at,created_at
High,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Low,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
0% tariff,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
