status,code,number,name,value,decimals,prefix,suffix,priority,updated_at,created_at
1,USD,840,US Dollars,1,2,$,,0,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
1,EUR,978,Euros,1.173,2,, €,0,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
