name,description,updated_at,created_at
Standard (GST),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Reduced (GST),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Low (GST),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
