name,description,updated_at,created_at
Standard,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Food,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Cultural,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
