name,description,updated_at,created_at
Standard (VAT),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Reduced (VAT),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Low (VAT),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
