status,code,code2,name,locale,intl_locale,raw_date,raw_time,raw_datetime,format_date,format_time,format_datetime,decimal_point,thousands_sep,priority,updated_at,created_at
1,de,deu,Deutsch,"de_BE.utf8,de_BE.UTF-8,german",de_BE,Y-m-d,H:i,Y-m-d H:i,%b %e %Y,%H:%M,%b %e %Y %H:%M,",", ,0,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
1,fr,fra,Français,"fr_BE.utf8,fr_BE.UTF-8,french",fr_BE,Y-m-d,H:i,Y-m-d H:i,%b %e %Y,%H:%M,%b %e %Y %H:%M,",", ,0,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
1,nl,ned,Nederlands,"nl_BE.utf8,nl_BE.UTF-8,dutch",nl_BE,Y-m-d,H:i,Y-m-d H:i,%b %e %Y,%H:%M,%b %e %Y %H:%M,",", ,0,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
