name,description,updated_at,created_at
Standard (TVA),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
First Reduced (TVA),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Second Reduced (TVA),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Super Reduced (TVA),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
