name,description,updated_at,created_at
Standard,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Groceries,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Culture,,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
