id,orderable,name,updated_at,created_at
1,0,"{""en"": ""Sold Out""}",CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
2,1,"{""en"": ""Temporarily Sold Out""}",CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
3,1,"{""en"": ""Backorder Item""}",CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
