name,description,updated_at,created_at
Standard (KDV),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Reduced (KDV),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
Super Reduced (KDV),,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
